"Bacteria(Rats), created by Plot Digitizer, 2.6.8"
"Date: 1/22/20, 8:25:05 AM"


27
Rats,Bacteria
0.579215,458907328,
1.70334,480491648,
2.82970,410514208,
3.95339,449333696,
5.08197,288871648,
6.20266,450491648,
7.30270,307263776,
8.45254,426874080,
9.58304,187776624,
10.7088,143651904,
11.8048,163080832,
12.9284,207286304,
14.0250,205171296,
15.1486,245067984,
16.3004,284965664,
17.4252,281774464,
18.5222,260269888,
19.6150,413271296,
20.7691,360530016,
21.8702,172059840,
23.0217,225961104,
24.1447,290633344,
25.2131,290671680,
26.3378,290712064,
27.4905,290753472,
28.6162,250937536,
29.7408,250977920,
